Month,Year,Day,Date,Open,High,Low,Close,Adj Close,Volume,Growth
10,2562,1,1/10/2019,4.08,4.08,3.94,4,4,1139300,-0.020
10,2562,2,2/10/2019,4,4,3.96,4,4,625600,0.000
10,2562,3,3/10/2019,4,4.04,3.96,4,4,435050,0.000
10,2562,4,4/10/2019,4,4,3.8,3.88,3.88,1916450,-0.030
10,2562,7,7/10/2019,3.7,3.7,3.26,3.52,3.52,18789700,-0.049
10,2562,8,8/10/2019,3.52,3.56,3.48,3.5,3.5,1197900,-0.006
10,2562,9,9/10/2019,3.5,3.52,3.48,3.48,3.48,910500,-0.006
10,2562,10,10/10/2019,3.5,3.5,3.44,3.48,3.48,520000,-0.006
10,2562,11,11/10/2019,3.48,3.48,3.4,3.4,3.4,808550,-0.023
10,2562,15,15/10/2019,3.4,3.44,3.4,3.44,3.44,1806300,0.012
10,2562,16,16/10/2019,3.44,3.46,3.42,3.42,3.42,2021700,-0.006
10,2562,17,17/10/2019,3.44,3.46,3.42,3.44,3.44,1323450,0.000
10,2562,18,18/10/2019,3.46,3.46,3.4,3.42,3.42,1044750,-0.012
10,2562,21,21/10/2019,3.44,3.44,3.38,3.4,3.4,1468550,-0.012
10,2562,22,22/10/2019,3.42,3.42,3.4,3.42,3.42,396600,0.000
10,2562,24,24/10/2019,3.44,3.44,3.4,3.42,3.42,482000,-0.006
10,2562,25,25/10/2019,3.42,3.44,3.34,3.38,3.38,1026500,-0.012
10,2562,28,28/10/2019,3.38,3.4,3.36,3.4,3.4,502500,0.006
10,2562,29,29/10/2019,3.4,3.44,3.38,3.44,3.44,611200,0.012
10,2562,30,30/10/2019,3.44,3.46,3.42,3.46,3.46,1002750,0.006
10,2562,31,31/10/2019,3.46,3.62,3.44,3.58,3.58,1694400,0.035
11,2562,1,1/11/2019,3.6,3.6,3.52,3.6,3.6,1179600,0.000
11,2562,4,4/11/2019,3.62,3.82,3.6,3.78,3.78,2716450,0.044
11,2562,5,5/11/2019,3.8,3.9,3.78,3.9,3.9,1551800,0.026
11,2562,6,6/11/2019,3.9,4.04,3.88,4,4,3023200,0.026
11,2562,7,7/11/2019,3.98,4.04,3.94,3.98,3.98,344750,0.000
11,2562,8,8/11/2019,4,4.16,4,4.04,4.04,1763600,0.010
11,2562,11,11/11/2019,4.08,4.12,4,4.04,4.04,757400,-0.010
11,2562,12,12/11/2019,4.04,4.16,4,4.12,4.12,1116450,0.020
11,2562,13,13/11/2019,4.12,4.12,3.94,3.94,3.94,1298400,-0.044
11,2562,14,14/11/2019,3.96,3.96,3.66,3.88,3.88,4285000,-0.020
11,2562,15,15/11/2019,3.9,4.08,3.9,3.92,3.92,1410600,0.005
11,2562,18,18/11/2019,3.92,3.94,3.86,3.9,3.9,371400,-0.005
11,2562,19,19/11/2019,4,4.12,3.98,4.12,4.12,1070650,0.030
11,2562,20,20/11/2019,4.28,4.32,4.04,4.08,4.08,4574700,-0.047
11,2562,21,21/11/2019,4.12,4.12,4,4.04,4.04,754450,-0.019
11,2562,22,22/11/2019,4.04,4.08,3.92,4.08,4.08,1854800,0.010
11,2562,25,25/11/2019,4.08,4.08,3.96,4.04,4.04,506750,-0.010
11,2562,26,26/11/2019,4.04,4.12,3.92,3.98,3.98,1327900,-0.015
11,2562,27,27/11/2019,4,4,3.88,3.92,3.92,1618350,-0.020
11,2562,28,28/11/2019,3.94,4,3.9,3.92,3.92,968500,-0.005
11,2562,29,29/11/2019,3.96,3.96,3.86,3.9,3.9,1162700,-0.015
12,2562,2,2/12/2019,3.92,3.92,3.84,3.88,3.88,957950,-0.010
12,2562,3,3/12/2019,3.9,3.98,3.9,3.94,3.94,112800,0.010
12,2562,4,4/12/2019,3.96,3.96,3.86,3.9,3.9,366400,-0.015
12,2562,6,6/12/2019,3.92,3.96,3.9,3.94,3.94,231100,0.005
12,2562,9,9/12/2019,4.04,4.04,3.92,3.98,3.98,1131450,-0.015
12,2562,11,11/12/2019,3.98,3.98,3.92,3.92,3.92,266200,-0.015
12,2562,12,12/12/2019,3.98,4,3.96,3.98,3.98,126000,0.000
12,2562,13,13/12/2019,4,4,3.96,3.96,3.96,221550,-0.010
12,2562,16,16/12/2019,4,4,3.92,3.94,3.94,279900,-0.015
12,2562,17,17/12/2019,3.96,3.96,3.92,3.94,3.94,236950,-0.005
12,2562,18,18/12/2019,3.96,3.98,3.94,3.96,3.96,264600,0.000
12,2562,19,19/12/2019,3.98,3.98,3.94,3.94,3.94,134200,-0.010
12,2562,20,20/12/2019,3.94,4,3.92,3.94,3.94,298900,0.000
12,2562,23,23/12/2019,3.96,3.98,3.96,3.96,3.96,313150,0.000
12,2562,24,24/12/2019,3.98,4,3.96,3.96,3.96,293400,-0.005
12,2562,25,25/12/2019,3.96,3.98,3.96,3.96,3.96,224950,0.000
12,2562,26,26/12/2019,3.98,3.98,3.96,3.98,3.98,342150,0.000
12,2562,27,27/12/2019,4.04,4.12,3.98,4.04,4.04,1602850,0.000
12,2562,30,30/12/2019,4.08,4.28,4.08,4.24,4.24,3515750,0.039
1,2563,2,2/1/2020,4.24,4.32,4.12,4.24,4.24,2064000,0.000
1,2563,3,3/1/2020,4.2,4.36,4.2,4.36,4.36,2190550,0.038
1,2563,6,6/1/2020,4.28,4.36,4.08,4.12,4.12,3090000,-0.037
1,2563,7,7/1/2020,4.16,4.2,4.12,4.2,4.2,449600,0.010
1,2563,8,8/1/2020,4.16,4.2,4.12,4.16,4.16,915200,0.000
1,2563,9,9/1/2020,4.24,4.48,4.2,4.48,4.48,5685300,0.057
1,2563,10,10/1/2020,4.52,4.52,4.4,4.52,4.52,2098950,0.000
1,2563,13,13/1/2020,4.52,4.64,4.44,4.64,4.64,2986250,0.027
1,2563,14,14/1/2020,4.64,4.68,4.32,4.48,4.48,3712450,-0.035
1,2563,15,15/1/2020,4.48,4.52,4.4,4.44,4.44,929900,-0.009
1,2563,16,16/1/2020,4.44,4.56,4.44,4.48,4.48,975000,0.009
1,2563,17,17/1/2020,4.52,4.6,4.48,4.52,4.52,688550,0.000
1,2563,20,20/1/2020,4.56,4.56,4.4,4.44,4.44,1026250,-0.026
1,2563,21,21/1/2020,4.44,4.48,4.32,4.4,4.4,1657200,-0.009
1,2563,22,22/1/2020,4.44,4.52,4.36,4.52,4.52,516500,0.018
1,2563,23,23/1/2020,4.48,4.52,4.44,4.48,4.48,545350,0.000
1,2563,24,24/1/2020,4.48,4.48,4.36,4.48,4.48,910450,0.000
1,2563,27,27/1/2020,4.44,4.44,4.32,4.4,4.4,1075050,-0.009
1,2563,28,28/1/2020,4.4,4.44,4.32,4.32,4.32,750600,-0.018
1,2563,29,29/1/2020,4.36,4.48,4.16,4.36,4.36,2386550,0.000
1,2563,30,30/1/2020,4.36,4.44,4.32,4.36,4.36,786850,0.000
1,2563,31,31/1/2020,4.36,4.44,4.32,4.32,4.32,349600,-0.009
2,2563,3,3/2/2020,4.36,4.4,4.28,4.28,4.28,726800,-0.018
2,2563,4,4/2/2020,4.32,4.32,4.2,4.28,4.28,886600,-0.009
2,2563,5,5/2/2020,4.28,4.32,4.24,4.28,4.28,594350,0.000
2,2563,6,6/2/2020,4.28,4.4,4.28,4.4,4.4,829900,0.028
2,2563,7,7/2/2020,4.44,4.48,4.4,4.4,4.4,497700,-0.009
2,2563,11,11/2/2020,4.4,4.44,4.28,4.28,4.28,505000,-0.027
2,2563,12,12/2/2020,4.36,4.6,4.32,4.52,4.52,3858500,0.037
2,2563,13,13/2/2020,4.52,4.56,4.44,4.52,4.52,1280050,0.000
2,2563,14,14/2/2020,4.52,4.52,4.32,4.36,4.36,1652350,-0.035
2,2563,17,17/2/2020,4.4,4.44,4.36,4.4,4.4,396150,0.000
2,2563,18,18/2/2020,4.44,4.44,4.32,4.4,4.4,291800,-0.009
2,2563,19,19/2/2020,4.36,4.44,4.32,4.4,4.4,479400,0.009
2,2563,20,20/2/2020,4.36,4.4,4.32,4.36,4.36,235250,0.000
2,2563,21,21/2/2020,4.36,4.4,4.32,4.4,4.4,207800,0.009
2,2563,24,24/2/2020,4.36,4.36,4.2,4.28,4.28,1347800,-0.018
2,2563,25,25/2/2020,4.28,4.32,4.16,4.28,4.28,997850,0.000
2,2563,26,26/2/2020,4.28,4.28,3.94,4,4,1033600,-0.065
2,2563,27,27/2/2020,3.96,4.08,3.96,4.04,4.04,870950,0.020
2,2563,28,28/2/2020,4.04,4.04,3.96,4.04,4.04,274500,0.000
3,2563,2,2/3/2020,4.08,4.12,3.92,4.04,4.04,777900,-0.010
3,2563,3,3/3/2020,4.08,4.12,4,4.08,4.08,355400,0.000
3,2563,4,4/3/2020,4.04,4.08,4,4.04,4.04,180200,0.000
3,2563,5,5/3/2020,4.12,4.2,4,4.04,4.04,610150,-0.019
3,2563,6,6/3/2020,4.08,4.08,4,4,4,88200,-0.020
3,2563,9,9/3/2020,4,4,3.86,3.96,3.96,505450,-0.010
3,2563,10,10/3/2020,3.98,4,3.96,4,4,265950,0.005
3,2563,11,11/3/2020,4,4.04,3.94,3.98,3.98,265900,-0.005
3,2563,12,12/3/2020,3.98,3.98,3.8,3.9,3.9,462450,-0.020
3,2563,13,13/3/2020,3.78,3.9,3.72,3.88,3.88,757350,0.027
3,2563,16,16/3/2020,3.86,3.96,3.6,3.6,3.6,328100,-0.067
3,2563,17,17/3/2020,3.66,3.72,3.52,3.52,3.52,443600,-0.038
3,2563,18,18/3/2020,3.56,3.8,3.52,3.8,3.8,654000,0.067
3,2563,19,19/3/2020,3.8,3.8,3.64,3.74,3.74,571700,-0.016
3,2563,20,20/3/2020,3.8,3.94,3.76,3.92,3.92,672950,0.032
3,2563,23,23/3/2020,3.82,3.82,3.7,3.74,3.74,231550,-0.021
3,2563,24,24/3/2020,3.76,3.8,3.58,3.68,3.68,678700,-0.021
3,2563,25,25/3/2020,3.72,3.74,3.66,3.7,3.7,436000,-0.005
3,2563,26,26/3/2020,3.74,3.74,3.66,3.72,3.72,271600,-0.005
3,2563,27,27/3/2020,3.74,3.76,3.68,3.7,3.7,272800,-0.011
3,2563,30,30/3/2020,3.64,3.64,3.64,3.64,3.64,5000,0.000
3,2563,31,31/3/2020,3.68,3.7,3.58,3.64,3.64,237400,-0.011
4,2563,1,1/4/2020,3.64,3.66,3.54,3.64,3.64,164750,0.000
4,2563,2,2/4/2020,3.66,3.72,3.6,3.64,3.64,812200,-0.006
4,2563,3,3/4/2020,3.66,3.72,3.64,3.7,3.7,103650,0.011
4,2563,7,7/4/2020,3.72,3.78,3.66,3.74,3.74,215800,0.005
4,2563,8,8/4/2020,3.74,3.84,3.74,3.78,3.78,300250,0.011
4,2563,9,9/4/2020,3.82,3.84,3.74,3.74,3.74,475850,-0.021
4,2563,10,10/4/2020,3.76,3.8,3.68,3.72,3.72,664300,-0.011
4,2563,13,13/4/2020,3.74,3.76,3.66,3.72,3.72,465500,-0.005
4,2563,14,14/4/2020,3.76,3.76,3.66,3.72,3.72,388250,-0.011
4,2563,15,15/4/2020,3.9,4.24,3.9,4.24,4.24,8475000,0.087
4,2563,16,16/4/2020,4.6,4.64,4.32,4.64,4.64,11412200,0.009
4,2563,17,17/4/2020,4.64,4.64,4.28,4.36,4.36,7122750,-0.060
4,2563,20,20/4/2020,4.4,4.44,4.32,4.4,4.4,1958700,0.000
4,2563,21,21/4/2020,4.4,4.56,4.32,4.44,4.44,3298050,0.009
4,2563,22,22/4/2020,4.44,4.44,4.32,4.4,4.4,1389550,-0.009
4,2563,23,23/4/2020,4.4,4.52,4.36,4.4,4.4,1384650,0.000
4,2563,24,24/4/2020,4.44,4.48,4.36,4.4,4.4,1247100,-0.009
4,2563,27,27/4/2020,4.44,4.84,4.4,4.44,4.44,8113750,0.000
4,2563,28,28/4/2020,4.44,4.48,4.36,4.4,4.4,1292500,-0.009
4,2563,29,29/4/2020,4.4,4.48,4.36,4.4,4.4,705400,0.000
4,2563,30,30/4/2020,4.44,4.48,4.32,4.36,4.36,1346300,-0.018
5,2563,5,5/5/2020,4.4,4.52,4.4,4.48,4.48,1416900,0.018
5,2563,7,7/5/2020,4.52,4.52,4.44,4.48,4.48,1606700,-0.009
5,2563,8,8/5/2020,4.52,4.6,4.44,4.44,4.44,2107950,-0.018
5,2563,11,11/5/2020,4.64,4.68,4.52,4.64,4.64,7708500,0.000
5,2563,12,12/5/2020,4.8,4.84,4.56,4.64,4.64,9258700,-0.033
5,2563,13,13/5/2020,4.68,4.68,4.44,4.48,4.48,3975750,-0.043
5,2563,14,14/5/2020,4.44,4.6,4.44,4.52,4.52,1537400,0.018
5,2563,15,15/5/2020,4.56,4.6,4.52,4.56,4.56,1090150,0.000
5,2563,18,18/5/2020,4.6,4.6,4.44,4.44,4.44,1494500,-0.035
5,2563,19,19/5/2020,4.56,4.56,4.44,4.48,4.48,1610100,-0.018
5,2563,20,20/5/2020,4.48,4.6,4.44,4.48,4.48,1197700,0.000
5,2563,21,21/5/2020,4.52,4.56,4.48,4.52,4.52,1390900,0.000
5,2563,22,22/5/2020,4.52,4.68,4.48,4.6,4.6,7622600,0.018
5,2563,25,25/5/2020,4.72,5,4.64,4.92,4.92,29208750,0.042
5,2563,26,26/5/2020,5.04,5.08,4.84,4.88,4.88,15329150,-0.032
5,2563,27,27/5/2020,4.92,4.92,4.72,4.76,4.76,6757650,-0.033
5,2563,28,28/5/2020,4.76,4.8,4.2,4.56,4.56,10573050,-0.042
5,2563,29,29/5/2020,3.88,4.24,3.88,4,4,184953100,0.031
6,2563,1,1/6/2020,4.2,4.32,4.08,4.16,4.16,41917700,-0.010
6,2563,2,2/6/2020,4.2,4.24,4.12,4.12,4.12,12252600,-0.019
6,2563,4,4/6/2020,4.16,4.2,4.04,4.16,4.16,14616300,0.000
6,2563,5,5/6/2020,4.2,4.2,4.12,4.12,4.12,9045550,-0.019
6,2563,8,8/6/2020,4.12,4.16,4.08,4.12,4.12,8398600,0.000
6,2563,9,9/6/2020,4.12,4.12,4,4,4,11117700,-0.029
6,2563,10,10/6/2020,4.04,4.08,4,4,4,4017850,-0.010
6,2563,11,11/6/2020,4,4.08,4,4.04,4.04,3874650,0.010
6,2563,12,12/6/2020,4,4.04,3.96,4.04,4.04,8370550,0.010
6,2563,15,15/6/2020,4.12,4.32,4.12,4.32,4.32,54015850,0.049
6,2563,16,16/6/2020,4.44,4.56,4.16,4.16,4.16,58707650,-0.063
6,2563,17,17/6/2020,4.24,4.32,4.16,4.28,4.28,11539950,0.009
6,2563,18,18/6/2020,4.28,4.44,4.28,4.36,4.36,20114600,0.019
6,2563,19,19/6/2020,4.4,4.4,4.28,4.32,4.32,9953100,-0.018
6,2563,22,22/6/2020,4.32,4.32,4.2,4.24,4.24,10114250,-0.019
6,2563,23,23/6/2020,4.24,4.28,4.2,4.24,4.24,7276400,0.000
6,2563,24,24/6/2020,4.28,4.32,4.16,4.16,4.16,9665300,-0.028
6,2563,25,25/6/2020,4.12,4.2,4.08,4.12,4.12,9586550,0.000
6,2563,26,26/6/2020,4.16,4.32,4.08,4.12,4.12,17823650,-0.010
6,2563,29,29/6/2020,4.08,4.16,4.04,4.16,4.16,4380300,0.020
6,2563,30,30/6/2020,4.2,4.2,4.08,4.08,4.08,12800000,-0.029
7,2563,1,1/7/2020,4.12,4.16,4.08,4.08,4.08,5727600,-0.010
7,2563,2,2/7/2020,4.08,4.16,4.08,4.12,4.12,8629950,0.010
7,2563,3,3/7/2020,4.16,4.32,4.12,4.28,4.28,42585750,0.029
7,2563,7,7/7/2020,4.36,4.36,4.24,4.28,4.28,16910500,-0.018
7,2563,8,8/7/2020,4.24,4.28,4.2,4.2,4.2,10748650,-0.009
7,2563,9,9/7/2020,4.24,4.28,4.2,4.24,4.24,4008350,0.000
7,2563,10,10/7/2020,4.24,4.36,4.2,4.36,4.36,20698350,0.028
7,2563,13,13/7/2020,4.36,4.4,4.16,4.16,4.16,21381100,-0.046
7,2563,14,14/7/2020,4.2,4.24,4.16,4.24,4.24,4296450,0.010
7,2563,15,15/7/2020,4.28,4.32,4.24,4.24,4.24,3299150,-0.009
7,2563,16,16/7/2020,4.28,4.48,4.24,4.4,4.4,48389450,0.028
7,2563,17,17/7/2020,4.4,4.44,4.32,4.36,4.36,18027050,-0.009
7,2563,20,20/7/2020,4.36,4.4,4.28,4.36,4.36,5082450,0.000
7,2563,21,21/7/2020,4.36,4.4,4.32,4.32,4.32,3985500,-0.009
7,2563,22,22/7/2020,4.36,4.44,4.32,4.36,4.36,12942350,0.000
7,2563,23,23/7/2020,4.36,4.4,4.32,4.4,4.4,11288500,0.009
7,2563,24,24/7/2020,4.44,4.56,4.4,4.48,4.48,42120450,0.009
7,2563,29,29/7/2020,4.48,4.52,4.4,4.4,4.4,12591300,-0.018
7,2563,30,30/7/2020,4.48,4.52,4.32,4.36,4.36,23900400,-0.027
7,2563,31,31/7/2020,4.4,4.44,4.32,4.4,4.4,7096000,0.000
8,2563,3,3/8/2020,4.4,4.52,4.36,4.52,4.52,10108550,0.027
8,2563,4,4/8/2020,4.56,4.6,4.4,4.4,4.4,31970550,-0.035
8,2563,5,5/8/2020,4.56,4.56,4.4,4.4,4.4,25057200,-0.035
8,2563,6,6/8/2020,4.4,4.44,4.32,4.36,4.36,10604050,-0.009
8,2563,7,7/8/2020,4.36,4.36,4.2,4.24,4.24,21340950,-0.028
8,2563,10,10/8/2020,4.28,4.32,4.24,4.24,4.24,3283700,-0.009
8,2563,11,11/8/2020,4.32,4.32,4.24,4.24,4.24,6477050,-0.019
8,2563,13,13/8/2020,4.28,4.32,4.16,4.2,4.2,9211900,-0.019
8,2563,14,14/8/2020,4.24,4.24,4.12,4.16,4.16,7030800,-0.019
8,2563,17,17/8/2020,4.16,4.2,4.04,4.08,4.08,8294850,-0.019
8,2563,18,18/8/2020,4.12,4.12,4.04,4.12,4.12,3225350,0.000
8,2563,19,19/8/2020,4.12,4.2,4.04,4.12,4.12,4356000,0.000
8,2563,20,20/8/2020,4.08,4.08,3.98,4.04,4.04,8875800,-0.010
8,2563,21,21/8/2020,4.04,4.12,4,4.08,4.08,2665600,0.010
8,2563,24,24/8/2020,4.08,4.16,4.04,4.12,4.12,3744050,0.010
8,2563,25,25/8/2020,4.2,4.2,4.08,4.16,4.16,8906750,-0.010
8,2563,26,26/8/2020,4.12,4.16,4.08,4.12,4.12,2304550,0.000
8,2563,27,27/8/2020,4.12,4.2,4.08,4.12,4.12,2448750,0.000
